Name,Entry
DHX9,Q08211
DDX17,Q92841
UPF1,Q92900
DDX3X,O00571
FUBP1,Q96AE4
MOV10,Q9HCE1
DDX5,P17844
G3BP1,Q13283
DDX21,Q9NR30
DDX21,Q9NY93
DDX39,O00148
DDX6,P26196
DDX1,Q92499
DDX50,Q9BQ39
DDX28,Q9NUL7
YTHDC2,Q9H6S0
HELZ,P42694
DHX38,Q92620
DHX8,Q14562
DHX30,Q7L2E3
ASCC3,Q8N3C0
DHX57,Q6P158
DDX42,Q86XP3
DHX15,O43143
SNRNP200,O75643
DHX36,Q9H2U1
DDX27,Q96GQ7
DDX52,Q9Y2R4
DDX18,Q9NVP1
DDX47,Q9H0S4
DDX10,Q13206
DHX34,Q14147
DDX46,Q7L014
DDX24,Q9GZR7
DDX54,Q8TDD1
DDX31,Q9H8H2
PRIC285,Q9BYK8
SUPV3L1,Q8IYB8
DDX23,Q9BUQ8
DDX51,Q8N8A6
DDX41,Q9UJV9
DHX29,Q7Z478
XRN2,Q9H0D6
POP7,O75817
XRN1,Q8IZH2
REXO4,Q9GZR2
DROSHA,Q9NRR4
ERI3,O43414
APEX1,P27695
EXOSC6,Q5RKV6
PNPT1,Q8TCS8
IMP3,Q8TCT8
IMP3,Q9NV31
NIP7,Q9Y221
IGF2BP1,Q9NZI8
"IMP3,IGF2BP3",O00425
SYNCRIP,O60506
PABPC1,P11940
LSM6,P62312
SND1,Q7KZF4
RBMX,P38159
LSM3,P62310
HNRNPA0,Q13151
HNRNPCL1,O60812
LRPPRC,P42704
HNRNPL,P14866
SFPQ,P23246
FUBP3,Q96I24
HNRNPR,O43390
HNRNPK,P61978
ELAVL1,Q15717
HNRNPD,Q14103
HNRNPAB,Q99729
RALY,Q9UKM9
PUM1,Q14671
MATR3,P43243
CCBL2,Q6YP21
KHSRP,Q92945
LSM1,O15116
FUS,P35637
PURA,Q00577
SERBP1,Q8NC51
PURB,Q96QR8
ILF2,Q12905
NONO,Q15233
TAF15,Q16514
TAF15,Q92804
HNRNPH3,P31942
HNRNPA3,P51991
PABPC4L,P0CB38
HNRNPA2B1,P22626
LSM2,Q9Y333
PABPC4,Q13310
PTBP2,Q9UKA9
CSDE1,O75534
TARDBP,Q13148
CNBP,P62633
FAM120A,Q9NZB2
KHDRBS1,Q07666
HNRNPH2,P55795
THOC4,Q86V81
RBM3,P98179
YBX1,P67809
HNRNPM,P52272
HNRNPU,Q00839
IGF2BP2,Q9Y6M1
HNRNPC,P07910
CSDA,P16989
HNRNPA1,P09651
SAFB2,Q14151
RBM38,Q9H0Z9
TNRC6A,Q8NDV7
HNRNPF,P52597
HNRNPH1,P31943
HNRNPUL1,Q9BUJ2
POLDIP3,Q9BY77
RAVER1,Q8IY67
MAGOH2,Q96A72
HNRPDL,O14979
SF3B4,Q15427
ROD1,O95758
SAFB,Q15424
SRSF3,P84103
PTBP1,P26599
MBNL1,Q9NR56
TIA1,P31483
SFRS7,Q16629
PCBP1,Q15365
PSPC1,Q8WXF1
RC3H1,Q5TC82
ESRP2,Q9H6T0
EWSR1,Q01844
ATXN2L,Q8WWM7
GRSF1,Q12849
MSI2,Q96DH6
SRSF1,Q07955
FXR2,P51116
TRA2B,P62995
DAZAP1,Q96EP5
LSM14A,Q8ND56
HNRNPUL2,Q1KMD3
FMR1,Q06787
LARP4B,Q92615
U2AF2,P26368
CPSF7,Q8N684
KHDRBS3,O75525
LARP4,Q71RC2
G3BP2,Q9UN86
MAGOH,P61326
CSTF2T,Q9H0L4
ZFR,Q96KR1
CPEB4,Q17RY0
SFRS9,Q13242
PRR3,P79522
PRR3,Q9NQS3
MYEF2,Q9P2K5
SLIRP,Q9GZT3
FXR1,P51114
PCBP2,Q15366
RBM14,Q96PK6
PATL1,Q86TB9
SSBP1,Q04837
SNRPA,P09012
SF3B14,Q9Y3B4
SFRS6,Q13247
CPSF6,Q16630
CPSF4,O95639
NCL,P19338
RBMS1,P29558
PABPN1,Q86U42
CIRBP,Q14011
U2AF1,Q01081
SF1,Q13285
SF1,Q15637
RBM47,A0AV96
RBM8A,Q9Y5S9
APOBEC3B,Q9UH17
CSTF2,P33240
SRP14,P37108
MEX3C,Q5U5Q3
PUF60,Q9UHX1
TSNAX,Q99598
FBLL1,A6NHQ2
RBM15,Q96T37
RNMTL1,Q9HC36
AKAP1,Q92667
NUFIP2,Q7Z417
PUM2,Q8TB72
YTHDF1,Q9BYJ9
RBM22,Q9NW64
LARP1B,Q659C4
SRSF10,O75494
CELF1,Q92879
LSM14B,Q9BX40
MSI1,O43347
LSM4,Q9Y4Z0
CASC3,O15234
PPIL4,Q8WUA2
STAU1,O95793
CPEB2,Q7Z5Q1
NUPL2,O15504
RBM27,Q9P2N5
RBM45,Q8IUH3
NUDT21,O43809
NCBP2,P52298
LARP1,Q6PKG0
SFRS2,Q01130
ZC3H4,Q9UPT8
RBM4,Q9BWF3
CELF2,O95319
SRRT,Q9BXP5
FBL,P22087
ELAVL2,Q12926
RBM39,Q14498
YTHDC1,Q96MU7
NOVA2,Q9UNW9
RBM7,Q9Y580
ANKHD1,Q8IWZ3
YTHDF2,Q9Y5A9
RBM6,P78332
YTHDF3,Q7Z739
MEX3D,Q86XN8
EMG1,Q92979
RBM34,P42696
CPEB3,Q8NE35
NXF1,Q9UBU9
