UniProtKB:Q13435	SF3B2
UniProtKB:Q13428	TCOF1
UniProtKB:Q13427	PPIG
UniProtKB:Q13425	SNTB2
UniProtKB:Q9NZM5	NOP53
UniProtKB:Q53R41	FASTKD1
UniProtKB:Q6IMN6	CAPRIN2
UniProtKB:Q9BWU0	SLC4A1AP
UniProtKB:Q9BWT3	PAPOLG
UniProtKB:Q6ZUT6	CCDC9B
UniProtKB:Q9NZI8	IGF2BP1
UniProtKB:Q9BX46	RBM24
UniProtKB:Q6PK04	CCDC137
UniProtKB:P08865	RPSA
UniProtKB:Q9BX10	GTPBP2
UniProtKB:Q9NZB2	FAM120A
UniProtKB:P61254	RPL26
UniProtKB:P61247	RPS3A
UniProtKB:Q5T764	IFIT1B
UniProtKB:P0CB38	PABPC4L
UniProtKB:Q9NYY8	FASTKD2
UniProtKB:P56537	EIF6
UniProtKB:O15455	TLR3
UniProtKB:O15446	CD3EAP
UniProtKB:O15427	SLC16A3
UniProtKB:P04150	NR3C1
UniProtKB:Q13347	EIF3I
UniProtKB:Q13325	IFIT5
UniProtKB:Q13310	PABPC4
UniProtKB:P34896	SHMT1
UniProtKB:Q2M296	MTHFSD
UniProtKB:Q5T6F2	UBAP2
UniProtKB:Q9NYK5	MRPL39
UniProtKB:Q9NYK1	TLR7
UniProtKB:Q9NYH9	UTP6
UniProtKB:Q6NXG1	ESRP1
UniProtKB:Q5H9U9	DDX60L
UniProtKB:Q8IX18	DHX40
UniProtKB:Q8IX12	CCAR1
UniProtKB:Q9HCM7	FBRSL1
UniProtKB:Q8IX01	SUGP2
UniProtKB:Q8TD47	RPS4Y2
UniProtKB:Q92620	DHX38
UniProtKB:Q9HCK5	AGO4
UniProtKB:Q92616	GCN1
UniProtKB:Q92614	MYO18A
UniProtKB:Q86X55	CARM1
UniProtKB:Q9HCJ3	RAVER2
UniProtKB:Q9HCJ0	TNRC6C
UniProtKB:Q6IS14	EIF5AL1
UniProtKB:Q13901	C1D
UniProtKB:P51532	SMARCA4
UniProtKB:Q9HCG8	CWC22
UniProtKB:P51513	NOVA1
UniProtKB:Q9HCE5	METTL14
UniProtKB:P26378	ELAVL4
UniProtKB:Q9HCE1	MOV10
UniProtKB:P26373	RPL13
UniProtKB:Q9HCD5	NCOA5
UniProtKB:P26368	U2AF2
UniProtKB:Q5H9K5	ZMAT1
UniProtKB:P26358	DNMT1
UniProtKB:Q6NWY9	PRPF40B
UniProtKB:Q15061	WDR43
UniProtKB:Q8IWA0	WDR75
UniProtKB:Q15056	EIF4H
UniProtKB:P61764	STXBP1
UniProtKB:Q15050	RRS1
UniProtKB:Q15046	KARS
UniProtKB:Q15032	R3HDM1
UniProtKB:Q15029	EFTUD2
UniProtKB:Q15024	EXOSC7
UniProtKB:Q15020	SART3
UniProtKB:P41252	IARS
UniProtKB:P41238	APOBEC1
UniProtKB:P36578	RPL4
UniProtKB:P41214	EIF2D
UniProtKB:Q9H0L4	CSTF2T
UniProtKB:Q5SZQ8	CELF3
UniProtKB:O00148	DDX39A
UniProtKB:P36542	ATP5F1C
UniProtKB:Q8TBZ6	TRMT10A
UniProtKB:Q8N2G6	ZCCHC24
UniProtKB:Q9HC36	MRM3
UniProtKB:Q8TBY0	RBM46
UniProtKB:Q9GZY4	COA1
UniProtKB:Q9GZY0	NXF2
UniProtKB:Q9GZX7	AICDA
UniProtKB:P61011	SRP54
UniProtKB:Q96RP9	GFM1
UniProtKB:Q9GZV8	PRDM14
UniProtKB:Q9GZV4	EIF5A2
UniProtKB:Q6ZSC3	RBM43
UniProtKB:Q9GZT3	SLIRP
UniProtKB:Q6UN15	FIP1L1
UniProtKB:Q9BUB4	ADAT1
UniProtKB:O15235	MRPS12
UniProtKB:O15234	CASC3
UniProtKB:Q9NWU5	MRPL22
UniProtKB:Q9GZR2	REXO4
UniProtKB:O15226	NKRF
UniProtKB:O15213	WDR46
UniProtKB:Q96K80	ZC3H10
UniProtKB:Q01780	EXOSC10
UniProtKB:Q13151	HNRNPA0
UniProtKB:Q9NX20	MRPL16
UniProtKB:Q13144	EIF2B5
UniProtKB:Q9NX07	TRNAU1AP
UniProtKB:Q9NX05	FAM120C
UniProtKB:Q6ZRY4	RBPMS2
UniProtKB:Q13117	DAZ2
UniProtKB:P46087	NOP2
UniProtKB:Q9NPE2	NGRN
UniProtKB:P46060	RANGAP1
UniProtKB:Q66K41	ZNF385C
UniProtKB:Q9NWH9	SLTM
UniProtKB:P02786	TFRC
UniProtKB:Q9NZJ9	NUDT4
UniProtKB:P46013	MKI67
UniProtKB:Q9NWB1	RBFOX1
UniProtKB:Q9BTL3	FAM103A1
UniProtKB:O60812	HNRNPCL1
UniProtKB:P56270	MAZ
UniProtKB:Q96QR8	PURB
UniProtKB:Q5T481	RBM20
UniProtKB:P08579	SNRPB2
UniProtKB:P01891	HLA-A
UniProtKB:P61578	ERVK-16
UniProtKB:P61576	HERV-K104
UniProtKB:P61574	HERVK_113
UniProtKB:Q8TAD8	SNIP1
UniProtKB:Q9BZJ0	CRNKL1
UniProtKB:Q66PJ3	ARL6IP4
UniProtKB:Q7Z4G4	TRMT11
UniProtKB:Q86UE4	MTDH
UniProtKB:Q9H1J1	UPF3A
UniProtKB:P61513	RPL37A
UniProtKB:Q9BZE4	GTPBP4
UniProtKB:Q9BZE2	PUS3
UniProtKB:Q9BZE1	MRPL37
UniProtKB:Q2NL82	TSR1
UniProtKB:Q86UA1	PRPF39
UniProtKB:Q9BZC1	CELF4
UniProtKB:Q9BZB8	CPEB1
UniProtKB:Q5SY16	NOL9
UniProtKB:Q8IU60	DCP2
UniProtKB:Q9HA38	ZMAT3
UniProtKB:Q13686	ALKBH1
UniProtKB:P24928	POLR2A
UniProtKB:Q9UK59	DBR1
UniProtKB:Q86U90	YRDC
UniProtKB:Q9BYX4	IFIH1
UniProtKB:P08621	SNRNP70
UniProtKB:Q86U44	METTL3
UniProtKB:Q86U42	PABPN1
UniProtKB:Q86U38	NOP9
UniProtKB:P78406	RAE1
UniProtKB:Q659C4	LARP1B
UniProtKB:Q86U06	RBM23
UniProtKB:P14678	SNRPB
UniProtKB:Q86TM3	DDX53
UniProtKB:P26038	MSN
UniProtKB:P33316	DUT
UniProtKB:P09960	LTA4H
UniProtKB:P14618	PKM
UniProtKB:Q86TG7	PEG10
UniProtKB:Q9BYJ9	YTHDF1
UniProtKB:H0YAE9	H0YAE9
UniProtKB:P13667	PDIA4
UniProtKB:P14324	FDPS
UniProtKB:P09661	SNRPA1
UniProtKB:P09651	HNRNPA1
UniProtKB:Q96ST3	SIN3A
UniProtKB:P81605	DCD
UniProtKB:Q96T21	SECISBP2
UniProtKB:O15381	NVL
UniProtKB:Q9NXZ2	DDX43
UniProtKB:Q5T653	MRPL2
UniProtKB:O15372	EIF3H
UniProtKB:O15371	EIF3D
UniProtKB:Q702N8	XIRP1
UniProtKB:Q9NY93	DDX56
UniProtKB:O14980	XPO1
UniProtKB:O15347	HMGB3
UniProtKB:Q9NXV6	CDKN2AIP
UniProtKB:Q68CQ4	DIEXF
UniProtKB:Q9NY61	AATF
UniProtKB:Q13283	G3BP1
UniProtKB:Q96SI9	STRBP
UniProtKB:Q68D06	SLFN13
UniProtKB:Q13263	TRIM28
UniProtKB:Q01860	POU5F1
UniProtKB:Q13247	SRSF6
UniProtKB:Q13243	SRSF5
UniProtKB:Q13242	SRSF9
UniProtKB:Q9NY12	GAR1
UniProtKB:O43290	SART1
UniProtKB:Q9P2K5	MYEF2
UniProtKB:P46199	MTIF2
UniProtKB:Q6PI48	DARS2
UniProtKB:Q96SB4	SRPK1
UniProtKB:Q13206	DDX10
UniProtKB:Q9NXL6	SIDT1
UniProtKB:Q01804	OTUD4
UniProtKB:Q9BV44	THUMPD3
UniProtKB:Q5BKZ1	ZNF326
UniProtKB:Q9NXH9	TRMT1
UniProtKB:Q9BUR4	WRAP53
UniProtKB:Q5BKY9	FAM133B
UniProtKB:Q9BYG3	NIFK
UniProtKB:P09914	IFIT1
UniProtKB:P09913	IFIT2
UniProtKB:Q96I51	RCC1L
UniProtKB:Q9BYD6	MRPL1
UniProtKB:Q9BYD3	MRPL4
UniProtKB:Q9BYD2	MRPL9
UniProtKB:Q9BYD1	MRPL13
UniProtKB:Q9BYC9	MRPL20
UniProtKB:Q9BYC8	MRPL32
UniProtKB:P68104	EEF1A1
UniProtKB:Q5T8P6	RBM26
UniProtKB:Q13595	TRA2A
UniProtKB:Q8N5K1	CISD2
UniProtKB:Q658K8	EEF1DP3
UniProtKB:Q6NTF7	APOBEC3H
UniProtKB:P78362	SRPK2
UniProtKB:Q5T8I9	HENMT1
UniProtKB:Q9BXY0	MAK16
UniProtKB:Q13523	PRPF4B
UniProtKB:P78346	RPP30
UniProtKB:P78344	EIF4G2
UniProtKB:Q8N5P1	ZC3H8
UniProtKB:A1L020	MEX3A
UniProtKB:A8MWD9	SNRPGP15
UniProtKB:P78316	NOP14
UniProtKB:Q9BXT6	MOV10L1
UniProtKB:P51116	FXR2
UniProtKB:P51114	FXR1
UniProtKB:Q9P015	MRPL15
UniProtKB:Q9BXS6	NUSAP1
UniProtKB:Q9P031	CCDC59
UniProtKB:Q9UKJ3	GPATCH8
