Entry,Entry name,Status,Protein names,Gene names,Organism,Length
A9Z1X7,A9Z1X7_HUMAN,unreviewed,Serine/arginine repetitive matrix protein 1,SRRM1,Homo sapiens (Human),913
E9PCT1,E9PCT1_HUMAN,unreviewed,Serine/arginine repetitive matrix protein 1,SRRM1,Homo sapiens (Human),820
M0QXG5,M0QXG5_HUMAN,unreviewed,Serine/arginine repetitive matrix protein 1 (Fragment),SRRM1,Homo sapiens (Human),101
M0R088,M0R088_HUMAN,unreviewed,Serine/arginine repetitive matrix protein 1 (Fragment),SRRM1,Homo sapiens (Human),681
M0R1E7,M0R1E7_HUMAN,unreviewed,Serine/arginine repetitive matrix protein 1,SRRM1,Homo sapiens (Human),79
Q8IYB3,SRRM1_HUMAN,reviewed,Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein),SRRM1 SRM160,Homo sapiens (Human),904
F5GXI7,F5GXI7_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),119
F5GYA1,F5GYA1_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),68
F5GZX3,F5GZX3_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),84
F5H142,F5H142_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),702
F5H5J8,F5H5J8_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),186
F5H7T6,F5H7T6_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),126
H0YGG3,H0YGG3_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),174
H0YID4,H0YID4_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),135
H3BM22,H3BM22_HUMAN,unreviewed,Caprin-2 (Fragment),CAPRIN2,Homo sapiens (Human),706
Q6IMN6,CAPR2_HUMAN,reviewed,Caprin-2 (C1q domain-containing protein 1) (Cytoplasmic activation/proliferation-associated protein 2) (Gastric cancer multidrug resistance-associated protein) (Protein EEG-1) (RNA granule protein 140),CAPRIN2 C1QDC1 EEG1 KIAA1873 RNG140,Homo sapiens (Human),1127
J3KTG7,J3KTG7_HUMAN,unreviewed,"Transcription elongation factor, mitochondrial",TEFM,Homo sapiens (Human),226
Q96QE5,TEFM_HUMAN,reviewed,"Transcription elongation factor, mitochondrial",TEFM C17orf42,Homo sapiens (Human),360
H3BNW0,H3BNW0_HUMAN,unreviewed,THUMP domain-containing protein 1,THUMPD1,Homo sapiens (Human),145
Q9NXG2,THUM1_HUMAN,reviewed,THUMP domain-containing protein 1,THUMPD1,Homo sapiens (Human),353
F8VRH0,F8VRH0_HUMAN,unreviewed,Poly(rC)-binding protein 2 (Fragment),PCBP2,Homo sapiens (Human),310
